City,State,Country,Shape,Summary,Link
Cuernavaca,Morelos,Mexico,Orb,"Bright Red-Orange-White Ball of Light in Cuernavaca, Mexico",https://nuforc.org/sighting/?id=61623
Mexico City,Ciudad de México,Mexico,Disk,Four unidentifiable objects in a photograph that I took in Mexico City.,https://nuforc.org/sighting/?id=42955
Leon de los Aldama,Guanajuato,Mexico,Disk,"A large radiating craft seen above Playa Paraiso beach, 3 hours from Acapulco.",https://nuforc.org/sighting/?id=41999
La Paz,Baja California Sur,Mexico,Sphere,UFO in calm coastal Sunset sky.,https://nuforc.org/sighting/?id=48647
Tulum,Quintana Roo,Mexico,Disk,Saucer over Tulum Ruins,https://nuforc.org/sighting/?id=41598
Tulum,Quintana Roo,Mexico,Triangle,Photographic picture,https://nuforc.org/sighting/?id=41345
Cozumel,Quintana Roo,Mexico,Other,While on a cruise NCL Spirit before leaving the ship I saw the sun trying to break through the clouds I took a picture with ray coming,https://nuforc.org/sighting/?id=41343
Monterrey,Nuevo León,Mexico,Egg,"i was just taking pictures of night view with my digital camera, and i suddenly realized that i took a picture of UFO",https://nuforc.org/sighting/?id=41307
Monterrey,Nuevo León,Mexico,Cross,"Object moves from west to east, makes a u-turn, and goes back west. Glows orange. Repeat of 12-24 event.",https://nuforc.org/sighting/?id=40754
Monterrey,Nuevo León,Mexico,Cross,On December 24th at about 11:00pm a jet shaped objected moved across the sky glowing orange at a high altitude.,https://nuforc.org/sighting/?id=40684
Puerto Vallarta,Jalisco,Mexico,Circle,Large spheric objects in the sky.,https://nuforc.org/sighting/?id=40567
Ojuelos de Jalisco,Jalisco,Mexico,Disk,al evisar fotografias de un paisaje tomado en la sierra de Tapalpa Jalisco descubri unos puntos negros al momento de hacer la ampliacio,https://nuforc.org/sighting/?id=40562
Puerto Vallarta,Jalisco,Mexico,Light,"Odd lights remain over the Bay of Banderes, Puerto Vallarta, Mexico.… ((NUFORC Note:  Possibly stars, we suspect.  PD))",https://nuforc.org/sighting/?id=45576
Puerto Vallarta,Jalisco,Mexico,Light,"Odd light formations over Banderas Bay in Puerto Vallarta, Mexico...",https://nuforc.org/sighting/?id=50918
Nuevo Laredo,Tamaulipas,Mexico,Light,"While I was driving I stopped at a traffic light and when I turned to wait for the green light, I saw 11 bright lights in the sky",https://nuforc.org/sighting/?id=70149
Mexico City,Ciudad de México,Mexico,,"hey did anyone see that thing on CNN about a single ufo in Mexico? I dont remember the time that it happened or even what month it was,",https://nuforc.org/sighting/?id=38537
Cancun,Quintana Roo,Mexico,Cigar,"A huge object off the coast of Cancun, Mexico",https://nuforc.org/sighting/?id=44440
Cabo San Lucas,Baja California Sur,Mexico,Other,large light object that stayed in sighting for approx. 20 to 25 minutes. moving west to east,https://nuforc.org/sighting/?id=38412
Mexico City,Ciudad de México,Mexico,Sphere,fast moving object across bay,https://nuforc.org/sighting/?id=44439
Cancun,Quintana Roo,Mexico,Light,"Satallite with a mind of its own?? Riviera Maya, Mexico",https://nuforc.org/sighting/?id=108983
Mexico City,Ciudad de México,Mexico,Sphere,fast moving object across bay,https://nuforc.org/sighting/?id=38945
Playas de Rosarito,Baja California,Mexico,Unknown,"It put its hand near my face, but stopped and spoke to another one that told him to leave me alone, for they were ""done here.""",https://nuforc.org/sighting/?id=180881
Malinalco,México,Mexico,Oval,"2 female friends at lunch in Malinalco, Mexico last June - saw small shiny silver oval/circular object for about 12 seconds",https://nuforc.org/sighting/?id=41237
Monterrey,Nuevo León,Mexico,Orb,Big orb-shaped flying structure with multiple lights coming from it.,https://nuforc.org/sighting/?id=37268
Cancun,Quintana Roo,Mexico,Orb,"high speed light that can change course in a second, in high orbit.",https://nuforc.org/sighting/?id=37204
Cancun,Quintana Roo,Mexico,Other,Show in the sky!,https://nuforc.org/sighting/?id=37301
Puerto Vallarta,Jalisco,Mexico,Light,A flashing red and white light making irratic movements and hovering at length before disappearing.,https://nuforc.org/sighting/?id=36918
Mexico City,Ciudad de México,Mexico,,Article in the Globe and Mail,https://nuforc.org/sighting/?id=36564
Mexico City,Ciudad de México,Mexico,Oval,"Saucer shaped object over Mexico City on May 4, 2004",https://nuforc.org/sighting/?id=36455
Tijuana,Baja California,Mexico,Light,Saw UFO outside Airplane Window.,https://nuforc.org/sighting/?id=52305
Cancun,Quintana Roo,Mexico,Triangle,Triangular shaped illuminating object hovering over the ocean near Cancun Mexico.  ((NUFORC Note:  Sighting of a planet??  PD)),https://nuforc.org/sighting/?id=36870
Mexico City,Ciudad de México,Mexico,Disk,UFO's over Mexico City,https://nuforc.org/sighting/?id=36844
Mexico City,Ciudad de México,Mexico,Light,Tue May 11 09:25pm on Video from the AP news.Check out sbcYahoo for video under this date.Mexican Air Force pilots filmed 11 unidentifi,https://nuforc.org/sighting/?id=36866
Mexico City,Ciudad de México,Mexico,,Mexico Air Force video creates UFO stir,https://nuforc.org/sighting/?id=36868
Mexico City,Ciudad de México,Mexico,Light,11 UFO's sighted in Mexican capital by airforce pilots visible only via infared cameras.,https://nuforc.org/sighting/?id=35188
Mexico City,Ciudad de México,Mexico,,UFO's over mexico,https://nuforc.org/sighting/?id=35169
Cancun,Quintana Roo,Mexico,Light,Star-like objects turning and moving at different directions and sometimes at incredible speed.,https://nuforc.org/sighting/?id=33629
Tijuana,Baja California,Mexico,Other,"Imagine the space shuttle on steoids, with stubby X-15 like wings. Object flew overhead, fast and low, then rose quicly, at one point i",https://nuforc.org/sighting/?id=33535
Tulum,Quintana Roo,Mexico,Changing,"Bright multi-colored, pulsating cigar shaped object observed near Tulum,. Mexico",https://nuforc.org/sighting/?id=33418
Los Mochis,Sinaloa,Mexico,Circle,Large circular object with lights on top,https://nuforc.org/sighting/?id=32750
Cancun,Quintana Roo,Mexico,,"WAS  JUST BEFORE SUNSET,  AIRCRAFT  MIDLE ALTITUDE, FLYING FROM NORTH EAST TO SOUT WEST APERA LIKE A SPACE CRAFT  ENTERING THE ATHMOSFE",https://nuforc.org/sighting/?id=33108
Puerto Vallarta,Jalisco,Mexico,Light,bright white lights over the Sierra Madres in Mexico,https://nuforc.org/sighting/?id=31456
Guasave,Sinaloa,Mexico,Changing,Change form getting energy,https://nuforc.org/sighting/?id=31454
Tijuana,Baja California,Mexico,Egg,"El objeto estaba inmovil  en el aire, era de un color plateado y en forma de huevo.",https://nuforc.org/sighting/?id=31477
Tijuana,Baja California,Mexico,Oval,Gray object above a mount left a trail to the south,https://nuforc.org/sighting/?id=31303
Tijuana,Baja California,Mexico,Sphere,3 esferas plateadas  estaban estaticas en el aire a una distancia de 1 kilometro.,https://nuforc.org/sighting/?id=31105
Ajijic,Jalisco,Mexico,Sphere,"A bright red sphere with pulsating white light observed SE of Ajijic, Mexico for about 2 mins.",https://nuforc.org/sighting/?id=30642
Ajijic,Jalisco,Mexico,Sphere,"We observed a red and bright white sphere for some 45 seconds, travelling rapidly in an arc from WSW to NE, below medium cloud cover.",https://nuforc.org/sighting/?id=35834
Cozumel,Quintana Roo,Mexico,Circle,Strange lights seen off a cruise ship in the Caribbean.,https://nuforc.org/sighting/?id=29603
Los Mochis,Sinaloa,Mexico,Egg,glowing ball flying from south to north at the south end of the bay...  Bahia De Los Angeles Baja California Norte,https://nuforc.org/sighting/?id=29099
Cancun,Quintana Roo,Mexico,Light,I am compelled to relay this recent experience of mine to anyone that may usefully document it.  Keep in mind it's an account written b,https://nuforc.org/sighting/?id=29011
Acambaro,Guanajuato,Mexico,Circle,Sighting of a white object flying at an impossible speed.,https://nuforc.org/sighting/?id=52152
Cancun,Quintana Roo,Mexico,Fireball,"Red fireball moving across the night sky in Cancun, Mexico",https://nuforc.org/sighting/?id=30694
Mexico City,Ciudad de México,Mexico,Triangle,ufo's at sea above the pacific ocean,https://nuforc.org/sighting/?id=26823
Tenancingo,México,,,,https://nuforc.org/sighting/?id=26233
Cancun,Quintana Roo,Mexico,Other,'dancing' lights that looked like starts zig-zagging and doing other incredible manouveres in Cancun Mexico,https://nuforc.org/sighting/?id=27202
Monterrey,Nuevo León,Mexico,,"There was many objects stopping traffic on a major highway outside Monterrey, Mexico",https://nuforc.org/sighting/?id=25089
Mexico City,Ciudad de México,Mexico,Unknown,"Soundless flashing object crosses sky in 5 seconds, ENE to WSW",https://nuforc.org/sighting/?id=41934
Mexico City,Ciudad de México,Mexico,Egg,UFOs at Mexico City.,https://nuforc.org/sighting/?id=24841
Las Maravillas,Chiapas,Mexico,Unknown,"While reviewing pictures I had taken of the ocean view directly in front of my vacation rental, I discovered an image that was captured",https://nuforc.org/sighting/?id=24754
Puerto Vallarta,Jalisco,Mexico,Other,"Something definitely seen and video taped while vacationing in Puerto Vallarta, Mex.",https://nuforc.org/sighting/?id=26290
Tijuana,Baja California,Mexico,Disk,This thing was long approx. 200ft and thin. Silver metallic but shiny nothing like an airplane or anything I've ever seen before. We di,https://nuforc.org/sighting/?id=23815
Tijuana,Baja California,Mexico,Disk,ovni o ?,https://nuforc.org/sighting/?id=23763
Cancun,Quintana Roo,Mexico,Disk,"Digital picture from caribean sun raise taken from hotel window.

UFO in picture found months later while looking at .ppt presentatio",https://nuforc.org/sighting/?id=23459
San Felipe,Guanajuato,Mexico,Cylinder,there are objects in the baja area not yet identified!!!!!!!!,https://nuforc.org/sighting/?id=177021
Chihuahua,Chihuahua,Mexico,Triangle,"Vimos una nave triangular con luz roja en cada punta del triangulo, volaba a una velocidad baja a unos 200 mts de altura, la noche esta",https://nuforc.org/sighting/?id=22944
San Quintin,Baja California,Mexico,Other,Bright green aurora like bubble filled with an opaque ice color with bicycle wheel spokes of light meeting ta liquid metal colored disk,https://nuforc.org/sighting/?id=26107
Mexico City,Ciudad de México,Mexico,Circle,Dark circle flying opossite the wind!!,https://nuforc.org/sighting/?id=22526
Cuauhtemoc,Chihuahua,Mexico,Oval,Un noticed,https://nuforc.org/sighting/?id=22414
Cuernavaca,Morelos,Mexico,Oval,Sighting of Motherships retrieving aproximately 50 other smaller ships.,https://nuforc.org/sighting/?id=22508
Chihuahua,Chihuahua,Mexico,Light,"Looking at the sky,while visting my parents,we saw what we thought to be at first sight a satelite,except going at least 4 or 5 times t",https://nuforc.org/sighting/?id=22329
Puerto Penasco,Sonora,Mexico,Circle,"camping on the beach looking at what we thought was a shooting star and it was falling from the sky over the ocean only it stopped, it",https://nuforc.org/sighting/?id=22716
Puerto Penasco,Sonora,Mexico,Circle,"I wrote to you about the sighting my family had over the ocean on March 31, 2002, in Puerto Penasco , Mexico  aka Rocky Point... you as",https://nuforc.org/sighting/?id=22413
Puerto Penasco,Sonora,Mexico,Light,very bright light with huge triangular vapor trail emitting from the bottom of the light source,https://nuforc.org/sighting/?id=20957
San Luis Potosi,San Luis Potosí,Mexico,Disk,"Aparecio un objeto extraño a las afueras de la ciudad, el OVNI media al rededor de 300 m de longitud era una cosa enorme y a tan larga",https://nuforc.org/sighting/?id=21655
Chihuahua,Chihuahua,Mexico,,tres dias antes del avistamiento tuve un sueño muy bonito y que me ocasiono mucha tranquilidad en el cual veia muchas naves de un color,https://nuforc.org/sighting/?id=19027
Tijuana,Baja California,Mexico,Circle,"Object was red,round and no sound flew for awhile the went in to the sky and vanished",https://nuforc.org/sighting/?id=18201
Mazatlan,Sinaloa,Mexico,Light,about 300 saw a bright comet-like object flying too fast and too low from SW to NE at 21:10 on 12/2/01 at about 23°N106W,https://nuforc.org/sighting/?id=50175
Cancun,Quintana Roo,Mexico,Light,2001-06 Cancun Mexico - distant bright orange dancing light,https://nuforc.org/sighting/?id=17630
Los Mochis,Sinaloa,Mexico,Sphere,"Very bright glowing object would drop suddenly and rise again...and stay still. Looked like Venus, but moved",https://nuforc.org/sighting/?id=17366
Nueva Rosita,Coahuila,Mexico,Disk,One big silver saucer and two small saucer.  On the top of some hills out of the mines during the day 12:00pm. just for a few mintues.,https://nuforc.org/sighting/?id=17455
San Felipe,Guanajuato,Mexico,Cylinder,"Bright light following cylindrical nose, near ground, moving linearly southward without noise or trail.",https://nuforc.org/sighting/?id=16479
Cancun,Quintana Roo,Mexico,Light,"A small star like light, making sharp turns in the area of Ursa Major (The Big Dipper)",https://nuforc.org/sighting/?id=26752
Cancun,Quintana Roo,Mexico,Triangle,"Perfectly shaped triangle of stars, extremely fast moving, two stars circling each other.",https://nuforc.org/sighting/?id=18508
Progreso,Yucatán,Mexico,Fireball,2001 New Years Sighting,https://nuforc.org/sighting/?id=16387
Tlaltenango de Sanchez Roman,Zacatecas,Mexico,Light,Bright light on and off for about an hour,https://nuforc.org/sighting/?id=13226
La Paz,Baja California Sur,Mexico,Orb,White orb of light hovering over Sierra Madre Mountains during Christmas week.,https://nuforc.org/sighting/?id=22454
San Jose del Cabo,Baja California Sur,Mexico,Sphere,It was the most amazing sight I've ever seen.,https://nuforc.org/sighting/?id=12983
Cancun,Quintana Roo,Mexico,Sphere,Around 11pm on 06/24 My wife and I Noticed   Circular shape beams of light  with a Halo like circle around them.  They were traveling n,https://nuforc.org/sighting/?id=38296
Mexico City,Ciudad de México,Mexico,Sphere,static silver sphere,https://nuforc.org/sighting/?id=12815
Cancun,Quintana Roo,Mexico,Cigar,WAS SITTING ON THE BEACH AND STARGAZING WHEN I SEEN A SHOOTONG STAR OR THOUGHT IT WAS I DIDN'T NOTICE ANY LIGHTS JUST THAT IT WAS MOVIN,https://nuforc.org/sighting/?id=68459
Mazatlan,Sinaloa,Mexico,,I have 20 minutes of film but no one seams intrested to even look at it It looks like an object moving away from you as bright as any s,https://nuforc.org/sighting/?id=12584
San Felipe,Guanajuato,Mexico,,Something in the night sky!,https://nuforc.org/sighting/?id=36845
Mazamitla,Jalisco,Mexico,Light,Me and two other witnesses seen 3 lights in the sky on a evning walk.,https://nuforc.org/sighting/?id=180485
Isla,Veracruz,Mexico,Oval,"I photograhed my wife for a picture by the lighthouse.  When developted we noticed ""something"" that was not there before.",https://nuforc.org/sighting/?id=13301
Tijuana,Baja California,Mexico,Flash,la estrella estuvo estatica por lo menos 30 min y su uida fue espectacular ni el mas moderno avion aria eso!,https://nuforc.org/sighting/?id=10547
Cancun,Quintana Roo,Mexico,Star,"Saw 17 formation N making back and forth up down mnvrs then turned S, one stopped in front of us",https://nuforc.org/sighting/?id=9791
Tenancingo,México,Mexico,Light,Red/Orange light in the sky.,https://nuforc.org/sighting/?id=44552
Guaymas,Sonora,Mexico,Orb,"small star gets bigger, bigger, explodes then smaller light left in it's place proceeds south-west at steady (satelite like)speed.",https://nuforc.org/sighting/?id=10416
Chihuahua,Chihuahua,Mexico,Other,"I think I saw contrails, but this day some military F-5 aircraft were passing by over the city, and I don´t know if they release a whit",https://nuforc.org/sighting/?id=12555
San Felipe,Guanajuato,Mexico,Light,Two lights darting in a zig zag patern. Another flashing craft moving with other lights.,https://nuforc.org/sighting/?id=13983
Mexico City,Ciudad de México,Mexico,Sphere,I woke up with a sensation of dehydration and sweat and drank a glass of water feeling a need to open the windows curtain and I saw an,https://nuforc.org/sighting/?id=5555
Puerto Vallarta,Jalisco,Mexico,Fireball,"Orange object moving from north to south in the western sky in Puerto Vallarta, Mexico.",https://nuforc.org/sighting/?id=5811
Cancun,Quintana Roo,Mexico,Changing,Satilite like object then growing bright changing direction and moving rapidly upwards.,https://nuforc.org/sighting/?id=5322
Cancun,Quintana Roo,Mexico,Unknown,i always and looking for satellites. this particular night i thought i had found one because of the speed that the light was moving was,https://nuforc.org/sighting/?id=5016
Tijuana,Baja California,Mexico,Rectangle,A white flash of light moving east to west stopped for one second in the shape of a green rectangle with round corners.  Then It procee,https://nuforc.org/sighting/?id=5254
Ajijic,Jalisco,Mexico,Light,"very bright pinpoint light w/ cone shape vapor trail. Observed for 5 min, looked to be at 3 to 5 k ft. pinpoint started to move and dis",https://nuforc.org/sighting/?id=15128
Valle de Bravo,México,Mexico,Light,White bright light like a headlight with a cloudy proyection though heaven was clear. It suddenly disspareared leaving just the bright,https://nuforc.org/sighting/?id=20838
Guadalajara,Jalisco,Mexico,Cylinder,empese a oir boses que me ablavan voltie asia riva y los vi unos silindricos esfericos unos que parecian cerpientes y tome varias fotos,https://nuforc.org/sighting/?id=4301
San Luis Potosi,San Luis Potosí,Mexico,Disk,"Craft was approaching, it accelerated very fast, stopped and changed direction several times.",https://nuforc.org/sighting/?id=54416
Tepatitlan de Morelos,Jalisco,Mexico,Light,We where on the road when we saw 2 long lights flying hirizontaly flashing alternatly. Then 2 or 3 sec. after it started decending and,https://nuforc.org/sighting/?id=31238
Hermosillo,Sonora,Mexico,Other,"A white boomerrang spaceship decloaked (six blocks away), then like, warp speed away.(Star Trek stlye).",https://nuforc.org/sighting/?id=1976
Tultitlan de Mariano Escobedo,México,Mexico,Triangle,vergel de la sierra mexico sightings black triangle ufo,https://nuforc.org/sighting/?id=24717
Tehuacan,Puebla,Mexico,Oval,Oval object with half globe on the top and white-shiny haze around it,https://nuforc.org/sighting/?id=13565
Cancun,Quintana Roo,Mexico,Light,3 dull orange lights closely clustered traveling from NNW to SSE. Traveling at high altitude & rate of speed with a abrupt jog to the e,https://nuforc.org/sighting/?id=35319
Cancun,Quintana Roo,Mexico,Other,Points of lights in Cancun 96,https://nuforc.org/sighting/?id=68707
Puerto Vallarta,Jalisco,Mexico,Diamond,4 diamond shaped light over the ocean in Mexico in May of 1996,https://nuforc.org/sighting/?id=8453
La Paz,Baja California Sur,Mexico,Disk,"disc shape object shiny and abouth 20 meters in diameter hovering over agricultural fields in la moncada, gto, mexico",https://nuforc.org/sighting/?id=3323
Santa Maria Huatulco,Oaxaca,Mexico,Light,"A moving light that resembled a star but moved in a crazy, erratic fashion and then zipped away and disappeared",https://nuforc.org/sighting/?id=18398
Teotihuacan,México,Mexico,Disk,A disk-shaped flying object appeared above the Pyramid of the Sun at Teotihuacan in Mexico,https://nuforc.org/sighting/?id=173550
San Felipe,Guanajuato,Mexico,Diamond,"While traveling to San Felipe for a fishing trip Three Immigration Inspectors and myself a Customs Inspector spotted a ""diamond"" to the",https://nuforc.org/sighting/?id=79917
Aguascalientes,Aguascalientes,Mexico,Oval,"The witnesses of this sighting are my father,my brother and I, we were burning some electric cable in the ranch (San antonio de los Ped",https://nuforc.org/sighting/?id=74428
Xico,Veracruz,Mexico,Oval,I was like 10 years old when I saw an oval shape object flying into a mountain hill and sit for around 2 min and after that was gone.,https://nuforc.org/sighting/?id=39447
Cancun,Quintana Roo,Mexico,Chevron,Glowing objects flying over Cancun,https://nuforc.org/sighting/?id=11872
Tampico,Tamaulipas,Mexico,Formation,"flotilla de ovnis tomada en video en Diciembre de 1994 en Tampico, Tamaulipas. Mexico.",https://nuforc.org/sighting/?id=38096
Mexicali,Baja California,Mexico,Oval,"I seen one objet upper the Sierra cucapah (Cucapah mountains)the form of this objet: ovoid and gold color, this objet disappears when i",https://nuforc.org/sighting/?id=51063
Ensenada,Baja California,Mexico,Light,"while scanning the stars,I was drawn to a perfect circle of stars or lights high in the sky. while exclaiming to my friend that this fo",https://nuforc.org/sighting/?id=58860
Apaseo el Grande,Guanajuato,Mexico,Oval,"UFO sighting and scanning sentsation in El Ajusco, Mexico",https://nuforc.org/sighting/?id=52033
San Martin Texmelucan de Labastida,Puebla,Mexico,Disk,"San Antonio del Mar, Baja California 5 miles north of Rosarito Beach Monday, March 8, 1993, 9:35 p.m.

 Bright moonlit night",https://nuforc.org/sighting/?id=129350
San Martin Texmelucan de Labastida,Puebla,Mexico,Disk,Bright moonlit night with low fog on horizon No aircraft or boats off the coast of Baja California Bright lights appear at about 30 to,https://nuforc.org/sighting/?id=39904
Puebla,Puebla,Mexico,Circle,After seeing this U.F.O i have become more open minded.,https://nuforc.org/sighting/?id=90192
San Luis Potosi,San Luis Potosí,Mexico,Disk,"3 luminous objects, after being suspended in space, vanished at high speed, northbound.  Seen by two witnesses.",https://nuforc.org/sighting/?id=36337
Reynosa,Tamaulipas,Mexico,Formation,THEY WERE FLYING AT AT A FAST SPEED,https://nuforc.org/sighting/?id=64312
Zihuatanejo,Guerrero,Mexico,Cylinder,I looked up from a Beach called Los gatos and saw three circular disc in triangle formation shift forward and left  out of sight,https://nuforc.org/sighting/?id=56365
Ensenada,Baja California,Mexico,Disk,A circular shaped craft  emiting three amber rays under it slowly hovering silently over the houses of the neighborhood .,https://nuforc.org/sighting/?id=46984
Mexico City,Ciudad de México,Mexico,Disk,WE WERE COMMERCIAL NET FISHING SWORDFISH ABOUT 80 MILES INTO MEXICO ABOUT 120 MILES OF SHORE JUST SOUTH OF SAN DEIGO  THE NET IS A MILE,https://nuforc.org/sighting/?id=98043
Mexico City,Ciudad de México,Mexico,Light,8/15/84    22:30    intense white light with two spheres        10 minutes     Object rises over desert accompanied by two spheres .,https://nuforc.org/sighting/?id=7737
Morelia,Michoacán,Mexico,Sphere,Orange spheres close to homes in Mexico.,https://nuforc.org/sighting/?id=26888
Guadalajara,Jalisco,Mexico,Formation,it happend while on a road to guadalajara jalisco mexico my 3 brothers ans sister are witnesses of seeing 5 objects flying very high in,https://nuforc.org/sighting/?id=18807
